sensor_id;	sensor_type;	location;	lat;		lon;		timestamp;		temperature;	humidity
33492;DHT22;20010;51.488;7.232;2021-04-26T03:01:36;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:04:04;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:06:31;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:08:59;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:11:26;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:13:53;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:16:21;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:18:48;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:21:15;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:23:43;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:26:10;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:28:39;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:31:07;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:33:35;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:36:03;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:38:30;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:40:57;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:43:24;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:45:54;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:48:21;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:50:47;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:53:14;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:55:40;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T03:58:07;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:00:34;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:03:08;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:05:35;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:08:07;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:10:33;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:13:01;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:15:28;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:17:54;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:20:20;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:22:49;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:25:15;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:27:42;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:30:11;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:32:38;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:35:05;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:37:32;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:39:58;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:42:25;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:44:51;2.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:47:17;2.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:49:44;2.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:52:10;2.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:54:38;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:57:06;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T04:59:32;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:01:58;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:04:25;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:06:53;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:09:22;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:11:49;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:14:15;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:16:41;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:19:08;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:21:34;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:24:00;2.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:26:27;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:28:54;2.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:31:20;2.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:33:47;2.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:36:14;2.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:38:40;2.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:41:07;2.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:43:33;2.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:45:59;2.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:48:26;2.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:50:55;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:53:22;2.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:55:49;2.80;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T05:58:16;2.90;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:00:43;2.90;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:03:09;3.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:05:35;3.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:08:02;3.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:10:28;3.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:12:55;3.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:15:23;3.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:17:50;3.60;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:20:16;3.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:22:43;3.70;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:25:09;3.90;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:27:36;3.90;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:30:04;4.00;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:32:30;4.10;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:34:57;4.20;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:37:23;4.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:39:51;4.30;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:42:18;4.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:44:44;4.40;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:47:10;4.50;99.90
33492;DHT22;20010;51.488;7.232;2021-04-26T06:49:38;4.60;99.90
